OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,FID,NAME,OPERATIONALSTATUS,VOLTAGE,SUBURB,STATE,SPATIALCONFIDENCE,REVISED,COMMENT,LATITUDE,LONGITUDE
184,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,187,King Creek,Operational,132,Bogie,Queensland,5,23/02/2017,,-20.36523236,147.4728302
185,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,188,Kogan Creek ,Operational,275,Brigalow,Queensland,4,23/02/2017,,-26.91867792,150.7481213
186,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,189,Rolleston,Operational,132,Albinia,Queensland,5,23/02/2017,,-24.389554,148.435928
187,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,190,Newlands,Operational,132,Newlands,Queensland,5,23/02/2017,,-20.956626,147.8930115
188,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,191,Milton,Operational,110,Milton,Queensland,5,23/02/2017,,-27.466434,153.0088571
189,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,192,SSCST,Operational,110,Brisbane City,Queensland,5,23/02/2017,,-27.469999,153.0279965
190,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,193,Bald Hills,Operational,110,Carseldine,Queensland,5,23/02/2017,,-27.333583,153.0187605
191,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,194,Guildford,Operational,132,Guildford West,New South Wales,5,23/02/2017,,-33.8505885,150.9576355
192,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,195,Molong,Operational,132,Molong,New South Wales,5,23/02/2017,,-33.08688954,148.8989584
193,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,196,Mount Piper 132,Operational,132,Blackmans Flat,New South Wales,5,23/02/2017,,-33.35124294,150.0226459
194,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,197,Beresfield,Operational,132,Beresfield,New South Wales,5,23/02/2017,,-32.79945006,151.6379381
195,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,198,Homebush,Operational,132,Homebush,New South Wales,5,23/02/2017,,-33.867087,151.0885785
196,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,199,Baulkham Hills,Operational,132,Old Toongabbie,New South Wales,5,23/02/2017,,-33.78182703,150.9687209
197,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,200,Mamre,Operational,132,Erskine Park,New South Wales,5,23/02/2017,,-33.81194406,150.7953532
198,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,201,Rooty Hill,Operational,132,Plumpton,New South Wales,5,23/02/2017,,-33.7586705,150.839003
199,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,202,Wollar,Operational,500,Wollar,New South Wales,5,23/02/2017,,-32.41167146,149.9532661
200,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,203,Parkes,Operational,132,Parkes,New South Wales,5,23/02/2017,,-33.10273408,148.0749899
201,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,204,Finley,Operational,132,Finley,New South Wales,5,23/02/2017,,-35.6397883,145.5127435
202,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,205,Gunnedah 132-66,Operational,132,Carroll,New South Wales,5,23/02/2017,,-30.97733144,150.3397489
203,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,206,Macksville,Operational,132,Macksville,New South Wales,3,23/02/2017,,-30.721702,152.9095575
204,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,207,Parklea,Operational,132,Stanhope Gardens,New South Wales,5,23/02/2017,,-33.72014111,150.9363555
205,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,208,Creek Road,Operational,110,New Town,Tasmania,5,23/02/2017,,-42.85947408,147.2917515
206,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,209,Sheffield,Operational,220,Nook,Tasmania,5,23/02/2017,,-41.3357665,146.306969
207,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,210,Derby,Operational,110,Derby,Tasmania,5,23/02/2017,,-41.133774,147.811781
208,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,211,George Town,Operational,220,Bell Bay,Tasmania,5,23/02/2017,,-41.1285675,146.8853275
209,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,212,Palmerston,Operational,220,Poatina,Tasmania,5,23/02/2017,,-41.7872955,146.9902045
